date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,role,season,target_day,offset_days,spread_db
2021-06-12,S1A_IW_GRDH_1SDH_20210612T204805_20210612T204830_038312_048574_rtc,2021-06-12T20:48:18.141563Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-21.316,-25.061,-17.641,-9.156,12.161,1,,open_water,2021,2021-06-09,3,7.42
2021-06-14,S1B_IW_GRDH_1SDH_20210614T095930_20210614T095959_027351_03443D_rtc,2021-06-14T09:59:45.279230Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-24.56,-28.092,-21.051,-10.976,13.584,1,,open_water,2021,2021-06-09,5,7.041
2021-06-14,S1B_IW_GRDH_1SDH_20210614T095930_20210614T095959_027351_03443D_rtc,2021-06-14T09:59:45.279230Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-24.56,-28.092,-21.051,-10.976,13.584,1,,open_water,2021,2021-06-18,-4,7.041
2021-06-18,S1B_IW_GRDH_1SDH_20210618T204724_20210618T204749_027416_034646_rtc,2021-06-18T20:47:36.614836Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-21.666,-25.324,-18.177,-9.291,12.375,1,,open_water,2021,2021-06-18,0,7.147
2021-06-19,S1B_IW_GRDH_1SDH_20210619T100737_20210619T100806_027424_034678_rtc,2021-06-19T10:07:51.738408Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-23.169,-27.302,-18.696,-10.493,12.676,1,,open_water,2021,2021-06-18,1,8.606
2021-06-20,S1A_IW_GRDH_1SDH_20210620T100001_20210620T100030_038422_0488B1_rtc,2021-06-20T10:00:16.445694Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-24.779,-28.475,-20.922,-10.629,14.149,1,,open_water,2021,2021-06-18,2,7.553
2021-06-18,S1B_IW_GRDH_1SDH_20210618T204724_20210618T204749_027416_034646_rtc,2021-06-18T20:47:36.614836Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-21.666,-25.324,-18.177,-9.291,12.375,1,,open_water,2021,2021-06-20,-2,7.147
2021-06-19,S1B_IW_GRDH_1SDH_20210619T100737_20210619T100806_027424_034678_rtc,2021-06-19T10:07:51.738408Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-23.169,-27.302,-18.696,-10.493,12.676,1,,open_water,2021,2021-06-20,-1,8.606
2021-06-20,S1A_IW_GRDH_1SDH_20210620T100001_20210620T100030_038422_0488B1_rtc,2021-06-20T10:00:16.445694Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-24.779,-28.475,-20.922,-10.629,14.149,1,,open_water,2021,2021-06-20,0,7.553
2021-06-24,S1B_IW_GRDH_1SDH_20210624T101546_20210624T101615_027497_034856_rtc,2021-06-24T10:16:00.862047Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-15.164,-19.098,-11.25,-9.491,5.673,1,,open_water,2021,2021-06-20,4,7.848
2021-06-24,S1A_IW_GRDH_1SDH_20210624T204806_20210624T204831_038487_048AAE_rtc,2021-06-24T20:48:18.718989Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.261,-21.948,-14.688,-8.906,9.355,1,,open_water,2021,2021-06-20,4,7.26
