date,season,doy,group,s2_ice,s2_share,landsat_id,landsat_cloud,landsat_sun,landsat_ice,landsat_share
2025-07-15,2025,196,"july anchor, control",0.011836232692600293,0.946766303532307,LC08_L2SP_011010_20250715_02_T1,0.09,40.44102135,0.012179965200099428,0.9743660978554713
2026-03-20,2026,79,"winter, ordinary",1.0,0.39542558686793317,LC09_L2SP_011010_20260320_02_T1,12.07,19.03074134,0.9992828369685055,0.99825474335823
2026-03-27,2026,86,"winter, ordinary",0.9932396900521437,0.946797278976857,LC09_L2SP_012010_20260327_02_T1,0.31,21.80001265,0.9993875029102567,0.9943866847603477
2026-04-05,2026,95,"april anchor, control",0.9950135590642979,0.9467956831856602,LC09_L2SP_011010_20260405_02_T1,7.35,25.28211563,0.9966941971927422,0.998771196854264
2026-04-11,2026,101,"april anchor, control",0.9960717974061192,0.946797278976857,LC08_L2SP_013010_20260411_02_T1,6.69,27.52999254,0.9975641331987604,0.9986892766445482
2026-04-13,2026,103,"april anchor, control",0.9967242821299136,0.9467956831856602,LC08_L2SP_011010_20260413_02_T1,0.8,28.25744439,0.9970680441752761,0.9997827333568409
2026-04-19,2026,109,"april anchor, control",0.9971604234011536,0.9461185571647027,LC09_L2SP_013010_20260419_02_T1,16.75,30.38777624,0.9967181921193851,0.9995619049654332
2026-05-05,2026,125,"season, ordinary",0.7201719120048011,0.9368927636471364,LC09_L2SP_013010_20260505_02_T1,0.84,35.44773393,0.7060755149610125,0.9382286001260859
2026-05-29,2026,149,"season, ordinary",0.0007291217569932286,0.946762469011303,LC08_L2SP_013010_20260529_02_T1,0.07,40.75325229,0.0006786417164634909,0.9971862188836769
2026-05-30,2026,150,"season, ordinary",0.0005179041658460438,0.8176190277388458,LC09_L2SP_012010_20260530_02_T1,0.18,40.89964046,0.0004278536374872924,0.9739885525411293
2026-06-15,2026,166,"season, ordinary",0.0006656228010675322,0.9467698180246795,LC09_L2SP_012010_20260615_02_T1,1.26,42.38160963,0.0006746337702390131,0.9978308953166573
2026-06-24,2026,175,"season, ordinary",0.0007016917149345513,0.9411976608748904,LC09_L2SP_011010_20260624_02_T1,1.6,42.44679188,0.0006284834731426808,0.9464241828459081
