import time: self [us] | cumulative | imported package
import time:         9 |       6450 |                 torch.backends.cuda
import time:       230 |       6679 |               torch.nn.attention
import time:       278 |        278 |                   torch.nn.parallel.parallel_apply
import time:       266 |        266 |                       torch.cuda.nccl
import time:       207 |        473 |                     torch.nn.parallel.comm
import time:       262 |        735 |                   torch.nn.parallel.replicate
import time:       294 |        294 |                     torch.nn.parallel._functions
import time:       229 |        522 |                   torch.nn.parallel.scatter_gather
import time:       259 |       1792 |                 torch.nn.parallel.data_parallel
import time:       368 |        368 |                       torch.distributed.algorithms.join
import time:       224 |        592 |                     torch.distributed.algorithms
import time:         8 |        600 |                   torch.distributed.algorithms.join
import time:       290 |        290 |                   torch.distributed.utils
import time:       931 |       1820 |                 torch.nn.parallel.distributed
import time:       239 |       3850 |               torch.nn.parallel
import time:       268 |     125379 |             torch.nn
import time:        16 |     125395 |           torch.nn.functional
import time:       243 |        243 |             torch._linalg_utils
import time:       278 |        520 |           torch._lowrank
import time:      2228 |     128142 |         torch.functional
import time:       235 |        235 |         torch.__config__
import time:       223 |        223 |           torch.accelerator._utils
import time:       258 |        480 |         torch.accelerator
import time:       244 |        244 |             torch.cpu.amp.autocast_mode
import time:       212 |        212 |             torch.cpu.amp.grad_scaler
import time:       218 |        674 |           torch.cpu.amp
import time:       361 |       1035 |         torch.cpu
import time:      1014 |       1014 |             torch.distributions.constraints
import time:       354 |        354 |             torch.distributions.utils
import time:       625 |       1991 |           torch.distributions.transforms
import time:       308 |        308 |               torch.distributions.distribution
import time:       193 |        501 |             torch.distributions.exp_family
import time:       278 |        778 |           torch.distributions.bernoulli
import time:       278 |        278 |             torch.distributions.dirichlet
import time:       228 |        505 |           torch.distributions.beta
